,avg,std
0,1.9653119337302614,4.5095564474353536
1,1.9844680300284754,4.458746623805331
2,2.032228837690914,4.415440382814948
3,2.1095003882992494,4.38972163739097
4,2.1207610665286047,4.356765352785868
5,2.2192596427646905,4.361460398336508
6,2.351799119855035,4.341818308878773
7,2.4917162826818533,4.331389291219408
8,2.6699456381050997,4.311072160834337
9,2.8611183018379496,4.280514398122979
10,3.0569505565622572,4.248173333369143
11,3.2677970489257055,4.243478465621314
12,3.4757960134610406,4.2620749246139455
13,3.575718353611183,4.284220316197966
14,3.867460522909656,4.3203082491021005
15,4.184442143411856,4.370170607624014
16,4.601863836396583,4.452780025567286
17,5.096427646906549,4.4869466010939005
18,5.636681335749418,4.507036585955423
19,6.208775563033911,4.524907983824568
20,6.770385710587626,4.529059738940809
21,7.096686513072742,4.597278499921725
22,7.641340926740875,4.669828079601713
23,8.150271809474502,4.745647138732966
24,8.664897747864353,4.822522182480917
25,9.185348174993528,5.073043750890348
26,9.74708775563034,5.331561808411986
27,10.389723013202174,5.5278873633088965
28,11.218353611183018,5.75737590892835
29,11.983950297696092,6.119992761016126
30,13.249417551126069,6.4964433246933275
31,14.72806109241522,6.9660771196462035
32,16.57908361377168,7.593588824721312
33,18.96893606005695,8.235472423524074
34,21.576365519026663,8.832482208016556
35,24.19414962464406,9.188330506385308
36,26.442920010354648,9.214842497445455
37,27.72624902925188,9.072464168895465
38,27.74320476313746,8.991471483697914
39,26.321382345327464,9.132024192931395
40,23.77155060833549,9.307123376082808
41,20.496893606005695,9.251549921897237
42,17.37742687030805,8.934088785888704
43,14.911208904996117,8.596147218277224
44,13.187419104323064,8.451063751495031
45,12.311933730261455,8.549184946838698
46,11.984726896194667,8.784798764417747
47,12.09280352057986,9.118673253249563
48,12.60755889205281,9.601132193358469
49,13.526274915868497,10.336295601199792
50,14.677323323841573,11.161572927026306
51,16.104452498058503,12.112803073438087
52,17.66140305462076,13.213005493028433
53,19.376650271809474,14.436126680025707
54,21.31633445508672,15.766706512361022
55,23.64147035982397,17.190256019204252
56,26.23297954957287,18.74860815201887
57,29.35555267926482,20.48804699034034
58,32.981620502200364,22.456202922949934
59,37.58037794460264,24.706916745900223
60,43.34895159202692,27.285314371290227
61,50.387134351540254,30.272618171708288
62,58.90370178617655,33.64898975121489
63,69.04957287082578,37.494060300314004
64,81.2386746052291,41.9105556898614
65,95.57960134610407,47.08280628674189
66,112.52498058503754,53.09215765141993
67,132.20049184571576,60.024740819940554
68,154.41793942531712,67.71526156962604
69,179.13901113124516,75.91106209191078
70,206.2979549572871,84.59964960256681
71,236.18379497799637,93.94728048554947
72,269.50815428423505,104.27176117928826
73,307.2705151436707,115.58812270829682
74,351.5852964017603,127.79483242130503
75,404.78954180688584,141.58220148283112
76,470.1412114936578,158.54156724640677
77,549.9207869531452,179.38317152525244
78,647.1856070411598,205.87527163506854
79,768.2980843903701,244.44665372462993
80,927.4157390629044,306.2466577070424
81,1145.4358011907843,396.85183433869855
82,1447.0317111053585,498.53235718568504
83,1833.28721201139,570.0947237119578
84,2299.893606005695,568.9575457916856
85,2842.3762619725603,499.2461089984021
86,3425.695573388558,392.55953148648183
87,3900.3593062386744,236.78173062613033
88,4014.838079213047,185.73506026483412
89,3579.276210199327,409.82680761530884
90,2709.9668651307275,553.7065275518881
