,accuracy,sensitivity,specificity,fn_rate,fp_rate,auc,tp,tn,fp,fn,run
0,0.9832826747720365,0.9640287769784173,0.9841320215804507,0.03597122302158273,0.015867978419549348,0.9974930877259475,134,3101,50,5,1
1,0.9714285714285714,0.9784172661870504,0.9711202792764202,0.02158273381294964,0.028879720723579815,0.9961311813767012,136,3060,91,3,2
2,0.9884498480243161,0.9424460431654677,0.9904792129482703,0.05755395683453238,0.00952078705172961,0.9949359458799194,131,3121,30,8,3
3,0.9872340425531915,0.9640287769784173,0.9882576959695335,0.03597122302158273,0.011742304030466518,0.9981985848959677,134,3114,37,5,4
4,0.9805471124620061,0.9712230215827338,0.9809584258965408,0.02877697841726619,0.01904157410345922,0.9953606140793491,135,3091,60,4,5
5,0.9917933130699088,0.9568345323741008,0.9933354490637892,0.04316546762589928,0.006664550936210727,0.9973720801207336,133,3130,21,6,6
6,0.9872340425531915,0.9640287769784173,0.9882576959695335,0.03597122302158273,0.011742304030466518,0.9974143186244404,134,3114,37,5,7
7,0.9729483282674772,0.9712230215827338,0.9730244366867661,0.02877697841726619,0.026975563313233895,0.9952236243375976,135,3066,85,4,8
8,0.9857142857142858,0.9856115107913669,0.9857188194224056,0.014388489208633094,0.014281180577594414,0.9955660986919763,137,3106,45,2,9
9,0.986322188449848,0.9568345323741008,0.9876229768327515,0.04316546762589928,0.012377023167248492,0.9977225455433812,133,3112,39,6,10
10,0.98419452887538,0.9784172661870504,0.9844493811488416,0.02158273381294964,0.015550618851158363,0.9968926160246033,136,3102,49,3,11
11,0.9835866261398176,0.9712230215827338,0.9841320215804507,0.02877697841726619,0.015867978419549348,0.9963355244081473,135,3101,50,4,12
12,0.9744680851063829,0.9784172661870504,0.97429387496033,0.02158273381294964,0.025706125039669948,0.9958845998415484,136,3070,81,3,13
13,0.9848024316109423,0.9640287769784173,0.9857188194224056,0.03597122302158273,0.014281180577594414,0.9974405749916094,134,3106,45,5,14
14,0.9838905775075988,0.9568345323741008,0.9850841002856237,0.04316546762589928,0.014915899714376388,0.9959725015925058,133,3104,47,6,15
