,avg,std
0,1.950981602666996,4.387985759614487
1,1.9708606000740831,4.337831566781479
2,2.009136930485245,4.289690847802083
3,2.091122360785282,4.259062832549099
4,2.112112606494629,4.2388003366547125
5,2.212618841832325,4.260586277251179
6,2.3505371033460922,4.261686722491044
7,2.5041363131250773,4.255348405511743
8,2.695764909248055,4.237491703219597
9,2.8952957155204344,4.24195978743567
10,3.0898876404494384,4.228335349677337
11,3.2938634399308557,4.219244667035971
12,3.509075194468453,4.208101989909104
13,3.620817384862329,4.201354595920296
14,3.9118409680207433,4.190002954946442
15,4.222620076552661,4.201017874206531
16,4.646499567847883,4.236538251967532
17,5.138165205580936,4.290022841329397
18,5.690579083837511,4.333267355481659
19,6.254599333251019,4.373914642149113
20,6.811828620817385,4.39908209759839
21,7.147302136066181,4.470496615212239
22,7.693171996542783,4.545261972346581
23,8.215211754537597,4.620502283545171
24,8.740338313372021,4.705933702305827
25,9.269909865415483,4.845023554675816
26,9.86171132238548,4.9997791861485785
27,10.52166934189406,5.146321131795665
28,11.3417705889616,5.361692274243193
29,12.119273984442524,5.734341685720527
30,13.408692431164342,6.13636079645588
31,14.90640819854303,6.646536588711204
32,16.769107297197184,7.286291209578662
33,19.153846153846153,7.94631253541668
34,21.74737621928633,8.51174628881351
35,24.354858624521547,8.844600523968616
36,26.551549574021482,8.839916290403531
37,27.8117051487838,8.67309642510663
38,27.79404864798123,8.60832626241773
39,26.337202123718978,8.809897038999544
40,23.747746635387085,9.00219922352963
41,20.454006667489814,8.909912665513593
42,17.29818496110631,8.462469772826257
43,14.839856772441042,7.902083934894523
44,13.097419434498086,7.44626497580572
45,12.219903691813805,7.297070262422277
46,11.906037782442278,7.437266918781004
47,12.011606371156933,7.82851857313352
48,12.534757377454007,8.39508559401938
49,13.417829361649586,9.081976097921377
50,14.54019014693172,9.81499232518283
51,15.93060871712557,10.67910759113132
52,17.44486973700457,11.656916656273152
53,19.135695764909247,12.746727245952457
54,21.029386343993085,13.904046522460531
55,23.32547228052846,15.164725247987706
56,25.911223607852822,16.547309591580188
57,29.031855784664774,18.112405681227685
58,32.71589085072231,19.83733474947309
59,37.41350784047413,21.87461650059408
